ISO3Code,OfficialName,Status.U5MR
AFG,Afghanistan,Acceleration Needed
AIA,Anguilla,Achieved
ALB,Albania,Achieved
ARE,United Arab Emirates,Achieved
ARG,Argentina,Achieved
ATG,Antigua and Barbuda,Achieved
AUS,Australia,Achieved
AUT,Austria,Achieved
AZE,Azerbaijan,Achieved
BEN,Benin,Acceleration Needed
BWA,Botswana,Acceleration Needed
BFA,Burkina Faso,Acceleration Needed
BGD,Bangladesh,On Track
BGR,Bulgaria,Achieved
BHR,Bahrain,Achieved
BHS,Bahamas,Achieved
BIH,Bosnia and Herzegovina,Achieved
BLR,Belarus,Achieved
BLZ,Belize,Achieved
BOL,Bolivia (Plurinational State of),Achieved
BRA,Brazil,Achieved
BRB,Barbados,Achieved
BRN,Brunei Darussalam,Achieved
BTN,Bhutan,Achieved
BDI,Burundi,Acceleration Needed
CMR,Cameroon,Acceleration Needed
CAN,Canada,Achieved
CHL,Chile,Achieved
CHN,China,Achieved
CAF,Central African Republic,Acceleration Needed
TCD,Chad,Acceleration Needed
COM,Comoros,Acceleration Needed
COL,Colombia,Achieved
CIV,Côte d'Ivoire,Acceleration Needed
CPV,Cabo Verde,Achieved
CRI,Costa Rica,Achieved
CUB,Cuba,Achieved
CYP,Cyprus,Achieved
DEU,Germany,Achieved
COD,Democratic Republic of the Congo,Acceleration Needed
DMA,Dominica,Acceleration Needed
DNK,Denmark,Achieved
DOM,Dominican Republic,Acceleration Needed
DZA,Algeria,Achieved
ECU,Ecuador,Achieved
EGY,Egypt,Achieved
ESP,Spain,Achieved
EST,Estonia,Achieved
ETH,Ethiopia,Acceleration Needed
FIN,Finland,Achieved
FRA,France,Achieved
GEO,Georgia,Achieved
SWZ,Eswatini,Acceleration Needed
FJI,Fiji,Acceleration Needed
GAB,Gabon,Acceleration Needed
GMB,Gambia,Acceleration Needed
GHA,Ghana,Acceleration Needed
GRC,Greece,Achieved
GRD,Grenada,Achieved
GUY,Guyana,On Track
HND,Honduras,Achieved
HRV,Croatia,Achieved
GIN,Guinea,Acceleration Needed
IDN,Indonesia,Achieved
IND,India,On Track
IRL,Ireland,Achieved
IRQ,Iraq,Achieved
ISL,Iceland,Achieved
ITA,Italy,Achieved
JAM,Jamaica,Achieved
JOR,Jordan,Achieved
JPN,Japan,Achieved
KAZ,Kazakhstan,Achieved
GNB,Guinea-Bissau,Acceleration Needed
KGZ,Kyrgyzstan,Achieved
KHM,Cambodia,Achieved
KNA,Saint Kitts and Nevis,Achieved
KOR,Republic of Korea,Achieved
KWT,Kuwait,Achieved
KEN,Kenya,Acceleration Needed
KIR,Kiribati,Acceleration Needed
LCA,Saint Lucia,Achieved
LTU,Lithuania,Achieved
LVA,Latvia,Achieved
MAR,Morocco,Achieved
MDA,Republic of Moldova,Achieved
LSO,Lesotho,Acceleration Needed
MEX,Mexico,Achieved
MKD,North Macedonia,Achieved
LBR,Liberia,Acceleration Needed
MLT,Malta,Achieved
MDG,Madagascar,Acceleration Needed
MNE,Montenegro,Achieved
MNG,Mongolia,Achieved
MLI,Mali,Acceleration Needed
MRT,Mauritania,Acceleration Needed
MSR,Montserrat,Achieved
MUS,Mauritius,Achieved
MWI,Malawi,Acceleration Needed
MYS,Malaysia,Achieved
MOZ,Mozambique,Acceleration Needed
NOR,Norway,Achieved
NPL,Nepal,On Track
NZL,New Zealand,Achieved
OMN,Oman,Achieved
NER,Niger,Acceleration Needed
PAN,Panama,Achieved
PER,Peru,Achieved
PHL,Philippines,Acceleration Needed
PLW,Palau,Achieved
NGA,Nigeria,Acceleration Needed
POL,Poland,Achieved
PRT,Portugal,Achieved
PRY,Paraguay,Achieved
PSE,State of Palestine,Achieved
QAT,Qatar,Achieved
ROU,Romania,Achieved
RUS,Russian Federation,Achieved
PAK,Pakistan,Acceleration Needed
SAU,Saudi Arabia,Achieved
PNG,Papua New Guinea,Acceleration Needed
SEN,Senegal,Acceleration Needed
SGP,Singapore,Achieved
RWA,Rwanda,Acceleration Needed
SLV,El Salvador,Achieved
SLE,Sierra Leone,Acceleration Needed
SRB,Serbia,Achieved
SOM,Somalia,Acceleration Needed
STP,Sao Tome and Principe,Achieved
SUR,Suriname,Achieved
SVK,Slovakia,Achieved
SYC,Seychelles,Achieved
TCA,Turks and Caicos Islands,Achieved
SSD,South Sudan,Acceleration Needed
THA,Thailand,Achieved
TLS,Timor-Leste,Acceleration Needed
TON,Tonga,Achieved
TUN,Tunisia,Achieved
TUR,Türkiye,Achieved
TUV,Tuvalu,Achieved
TZA,United Republic of Tanzania,Acceleration Needed
TKM,Turkmenistan,Acceleration Needed
URY,Uruguay,Achieved
USA,United States,Achieved
UZB,Uzbekistan,Achieved
VCT,Saint Vincent and the Grenadines,Achieved
VEN,Venezuela (Bolivarian Republic of),Achieved
VNM,Viet Nam,Achieved
WSM,Samoa,Achieved
UGA,Uganda,Acceleration Needed
ZMB,Zambia,Acceleration Needed
ZWE,Zimbabwe,Acceleration Needed
